complex_id,y_pred
1a30,5.350691318511963
1bcu,5.654984474182129
1bzc,5.992060661315918
1c5z,3.7642526626586914
1e66,8.1401948928833
1eby,7.552733421325684
1g2k,8.202656745910645
1gpk,6.465106964111328
1gpn,6.241293907165527
1h22,6.4348297119140625
1h23,5.827825546264648
1k1i,6.2220306396484375
1lpg,7.444890022277832
1mq6,7.925882339477539
1nc1,8.182695388793945
1nc3,7.262742042541504
1nvq,8.774928092956543
1o0h,5.2441864013671875
1o3f,6.343672752380371
1o5b,5.959348678588867
1owh,6.441083908081055
1oyt,8.15428638458252
1p1n,6.245335578918457
1p1q,5.478913307189941
1ps3,5.723609924316406
1pxn,6.4614152908325195
1q8t,4.731178283691406
1q8u,6.943916320800781
1qf1,6.73822021484375
1qkt,7.004274368286133
1r5y,5.701108932495117
1s38,6.3308210372924805
1sqa,6.813196182250977
1syi,6.475437164306641
1u1b,6.146738052368164
1uto,4.30411434173584
1vso,5.3385009765625
1w4o,4.29176139831543
1y6r,9.160067558288574
1yc1,7.574213027954102
1ydr,7.090207099914551
1ydt,6.209682464599609
1z6e,7.995793342590332
1z95,7.622339248657227
1z9g,6.302158355712891
2al5,5.16386604309082
2br1,7.2756547927856445
2brb,6.787319183349609
2c3i,6.803210258483887
2cbv,4.935730934143066
2cet,7.988860130310059
2fvd,7.243661880493164
2fxs,5.836036682128906
2hb1,3.9834537506103516
2iwx,6.796151161193848
2j78,6.173826217651367
2j7h,5.264986991882324
2p15,7.910330772399902
2p4y,7.592741966247559
2pog,7.156065940856934
2qbp,7.79503059387207
2qbq,7.331333160400391
2qbr,6.8715972900390625
2qe4,7.538495063781738
2qnq,7.227816581726074
2r9w,6.564271926879883
2v00,5.575214385986328
2v7a,7.187900543212891
2vkm,7.342308044433594
2vvn,4.9394378662109375
2vw5,6.606431007385254
2w4x,4.185545444488525
2w66,5.001286029815674
2wbg,5.5326642990112305
2wca,5.302412986755371
2weg,6.4031572341918945
2wer,7.745711326599121
2wn9,5.950580596923828
2wnc,5.345139026641846
2wtv,8.227492332458496
2wvt,4.569717884063721
2x00,7.247214317321777
2xb8,6.5623064041137695
2xbv,7.956185340881348
2xdl,5.110722541809082
2xii,7.854983329772949
2xj7,5.457647323608398
2xnb,7.169858932495117
2xys,6.752447128295898
2y5h,6.616095542907715
2yfe,6.395944595336914
2yge,6.417723655700684
2yki,7.595127105712891
2ymd,6.903173446655273
2zb1,7.157374382019043
2zcq,7.06626033782959
2zcr,7.394659996032715
2zda,6.605072975158691
2zy1,6.543806076049805
3acw,7.521607398986816
3ag9,5.764570236206055
